n_order,payment_total,days_since_last_order
2,278.38,1849
2,262.62,1800
2,815.4300000000001,1739
2,136.36,1651
2,104.0,1554
2,200.62,1624
2,553.8,1561
2,181.76,1756
2,895.36,1541
3,218.75,1569
2,219.26999999999998,1831
2,124.04,1888
2,1274.03,1574
2,56.0,1821
2,302.13,1806
2,177.75,1959
2,163.32,1890
2,115.74000000000001,1892
2,342.1,1696
2,169.51999999999998,2034
2,68.94,1554
2,193.65,1727
2,120.51,1942
3,320.17,1903
3,515.37,1872
2,475.11,1771
2,288.6,1627
2,537.72,1845
2,376.03,1578
2,200.04,1642
4,1056.33,1651
2,145.01,1683
2,340.36,1688
2,99.87,1812
2,80.12,2054
2,192.14,1664
2,250.07999999999998,1589
2,199.87,1683
2,152.49,1849
2,244.41,1747
2,362.1,1722
2,723.15,2124
2,159.55,1554
2,437.66999999999996,1937
2,42.47,1694
2,888.5,1714
2,201.87,1723
2,160.34,1974
2,120.5,1552
2,95.18,1732
2,530.77,1674
2,92.73,1646
3,327.39,1548
2,215.56,1810
2,64.46000000000001,1540
2,363.82,1769
2,134.06,1610
2,159.14999999999998,2124
2,85.07,1652
2,374.8,1816
2,91.35,1611
2,156.26,1640
2,199.7,1936
4,419.25,1547
3,400.47999999999996,1692
2,1381.41,1629
2,198.9,1584
3,192.28,1691
2,103.13,1577
2,126.96,1980
2,132.94,1548
4,779.18,1614
2,166.84,1830
2,136.51,2021
2,303.93,1899
2,101.1,1978
2,1510.38,1612
2,193.96,1876
2,144.46,1890
3,202.56,1639
2,86.61,1751
3,278.28000000000003,1546
2,211.2,1711
2,281.5,1899
2,289.84000000000003,1842
2,149.16,1576
2,227.36,1757
5,806.47,1671
3,132.03,1548
2,91.72,2024
2,113.08,1683
3,405.02,1568
2,135.78,1818
2,228.35,1805
2,1740.21,1888
2,469.37,1951
2,132.85,1738
2,103.69,1647
2,585.9100000000001,1737
2,248.82,1706
2,486.71,1645
3,198.14000000000001,1947
2,560.1800000000001,1806
2,281.48,1585
2,119.0,1817
3,258.03000000000003,1672
2,196.92000000000002,1702
2,216.04000000000002,1743
3,451.83000000000004,1867
2,174.92,1709
3,671.46,1666
2,390.02000000000004,1796
2,266.90999999999997,1918
2,414.40999999999997,1635
3,729.74,1843
2,127.72,1673
3,164.0,1752
2,251.87,2086
2,449.15999999999997,1619
2,873.09,1709
2,179.49,1969
2,155.63,1594
2,355.31,1594
2,203.87,1755
2,194.54,1801
2,173.09,1639
2,363.26,1728
2,242.46,1701
2,578.81,1725
2,151.27,1773
2,233.91000000000003,1645
2,188.11,1701
2,627.74,1568
3,190.96,1709
2,201.63,1674
2,552.51,1648
3,294.83,1908
3,156.03,1904
2,83.86,1741
2,280.34,1661
2,668.04,1593
5,1590.76,1609
2,192.7,2098
3,408.70000000000005,1808
2,440.55,1643
2,408.18,1744
2,156.38,1696
2,197.98000000000002,1723
2,120.14,1740
17,927.63,1548
2,482.6,1590
2,1294.09,1856
2,152.53,1701
2,254.51999999999998,1713
2,220.28,1636
2,326.36,1802
2,229.97000000000003,1731
2,382.0,1696
2,391.8,1754
2,108.72,1741
2,142.02,1718
2,904.72,1695
2,100.44,1624
2,2340.08,1642
2,1432.21,1810
2,94.41,1854
2,329.83,1616
2,432.56,1595
2,254.88,2006
2,421.41,1732
2,196.68,1624
2,97.98,1903
2,165.11,1946
2,271.11,2093
2,217.41,1723
2,144.69,1749
2,420.5,1841
2,289.07,1641
2,361.02,1869
2,340.22999999999996,1802
3,579.78,1646
2,153.37,1898
3,141.42000000000002,1735
2,200.29000000000002,1902
2,230.9,1721
2,280.02,1776
2,206.42000000000002,1615
2,404.2,1814
2,129.14,1612
2,157.28,1816
2,213.33999999999997,1920
2,211.24,1751
2,69.54,1771
2,524.8199999999999,1768
2,255.97,1753
2,124.3,1600
2,62.629999999999995,1649
2,133.05,1935
2,107.75999999999999,1800
2,232.71999999999997,1563
2,240.84,1582
2,333.17,2058
2,273.0,1854
2,68.0,2006
2,182.95,2050
2,266.82,1688
2,210.56,1811
2,168.99,1734
2,171.2,1764
2,226.88,1801
2,237.86,2018
2,292.76,1909
2,1050.0,1658
3,464.07,1595
2,200.07999999999998,1664
2,388.37,1826
2,92.68,1961
2,159.01999999999998,1707
2,131.94,1704
2,356.46,1642
2,303.76,1744
2,425.44,1564
2,178.82,1687
2,74.5,1947
2,130.0,1566
2,222.64999999999998,1603
2,157.39999999999998,1555
2,406.15,1763
3,160.04,1580
2,145.48000000000002,1592
2,278.93,2083
2,383.36,1819
2,613.05,1666
2,126.84,1855
2,207.95,1750
2,386.59000000000003,1978
2,63.94,1596
2,469.39,1578
2,142.46,1890
2,237.71,1848
2,497.84000000000003,1807
2,149.47,1801
2,206.8,1756
2,305.76,1749
2,562.8199999999999,2017
2,256.3,1567
2,922.19,2069
2,357.76,1877
2,446.28,1824
2,220.58999999999997,1625
2,204.32,1732
2,154.66,1817
2,198.49,1716
2,148.41,1988
2,267.6,1735
2,788.16,1857
2,232.69,1857
2,1189.3400000000001,1683
2,105.14000000000001,1790
2,140.46,1978
2,137.97,1625
3,480.52,1611
2,227.85,1752
2,249.60000000000002,1616
2,187.95,1741
3,295.3,1717
2,93.35,1645
2,200.06,1883
2,146.26999999999998,2033
2,611.54,1817
2,147.58,2129
2,169.06,1738
2,56.94,1716
2,155.15,1704
2,96.91,1594
2,635.4,2086
2,194.06,1652
2,274.82,1672
7,758.83,1602
2,381.39,2106
2,204.46,1818
2,223.10999999999999,1667
2,252.16000000000003,1574
2,104.54,1713
2,145.31,1887
2,260.68,1570
2,287.46,1617
2,99.67000000000002,1682
2,421.47,1793
2,301.28,1948
2,597.54,1683
2,298.03999999999996,1755
2,360.12,1582
2,344.98,1676
2,99.56,1986
2,123.99000000000001,1855
2,1653.98,1648
2,156.22,1799
2,424.32,1686
2,317.83,1697
3,1290.88,1633
2,311.86,1806
2,76.72,2131
2,319.18,1579
2,98.63,1806
3,247.88,1618
2,97.46,1649
2,190.68,1738
2,313.71,1699
2,443.12,1657
2,204.82,1994
2,50.06999999999999,1704
2,491.34000000000003,1591
2,1056.2,1684
2,124.53,1651
2,109.23,1864
3,628.63,1678
2,322.36,1748
2,162.76,1577
3,246.51,1795
2,191.9,1806
3,363.69,1674
2,190.75,1805
3,126.33,1724
2,186.39999999999998,1909
2,222.34,1645
2,365.12,1925
2,66.01,1817
2,364.63,1590
2,137.74,1698
3,1294.6000000000001,1570
2,190.96999999999997,1653
2,203.70999999999998,1704
2,180.78,1658
2,74.75,1637
2,221.72,1722
2,317.06,1627
2,161.01,1606
2,231.14,1617
3,209.79000000000002,1770
2,139.88,1548
2,228.97,1817
2,496.29999999999995,1680
2,306.53999999999996,1854
2,243.84,2049
2,98.9,1960
2,80.4,1879
2,332.34000000000003,1566
2,256.4,1825
2,185.42,1746
2,259.81,1644
2,858.17,1581
2,340.68,1609
2,1044.13,1856
2,498.52,1723
2,1011.02,1582
2,151.94,1777
3,259.37,1769
2,667.4399999999999,1719
2,242.19,1626
2,348.6,1772
2,109.93,1681
2,219.57999999999998,1549
2,256.2,1567
2,131.89,1747
4,1760.75,1555
2,438.92,1885
2,309.84000000000003,1588
2,501.03000000000003,1654
2,252.68,1554
2,126.02000000000001,1853
2,495.17,1763
2,38.24,2141
2,194.09,1945
2,152.48000000000002,1865
2,198.79000000000002,1562
2,94.6,1771
2,177.82999999999998,1578
2,240.78,1669
2,233.49,1925
2,86.35,1553
3,725.8,1666
2,242.06,1630
2,227.10999999999999,1700
2,190.93,2046
2,338.46,2130
3,280.64,1611
2,349.69,1718
2,191.55,1745
2,39.24,2141
2,223.25,1715
2,168.4,2096
2,125.53,1950
2,484.29999999999995,2026
2,454.72,1775
2,195.0,1995
2,172.57,1564
2,276.75,1740
2,165.76,1604
2,122.12,1678
2,429.29999999999995,1884
2,93.46000000000001,1735
2,131.17000000000002,1955
2,68.63,1741
2,244.14,1556
2,164.9,1982
2,82.34,1581
2,120.14,1582
2,108.48,2091
2,296.84000000000003,1727
2,262.96000000000004,1877
6,540.69,1686
2,227.03,1552
2,190.62,1736
2,379.28,1873
3,841.98,1786
2,184.32999999999998,1918
2,159.76,1680
2,98.47999999999999,1757
2,161.7,1654
2,217.37,1735
2,452.24,1885
2,449.16999999999996,1708
2,74.94,1747
2,329.39,1551
2,277.99,1596
2,485.23,1807
2,284.7,1711
2,315.12,2025
2,68.81,1560
2,63.629999999999995,1814
2,262.66,1589
2,187.76999999999998,1708
2,158.13,1553
3,238.02,1729
2,349.3,1741
2,239.24,1701
3,421.32000000000005,1657
2,435.56000000000006,1860
2,181.5,1792
2,206.32999999999998,1807
2,276.73,2010
2,567.0,1696
2,446.16,1667
2,223.3,1559
2,435.45000000000005,1561
2,189.61,1546
2,151.92,1722
3,782.64,1571
2,92.5,1944
2,320.4,1563
2,388.71,1737
2,103.24,1863
2,354.37,1767
2,382.92,1518
2,158.87,1875
2,335.52,1889
2,223.10000000000002,1595
2,115.7,1798
2,110.12,1609
2,193.94,1984
2,140.34,1766
2,176.13,1692
3,740.8299999999999,1564
2,184.44,1998
2,288.51,1650
2,176.16,1832
2,239.16,1941
2,289.94,1772
2,212.13,1643
2,407.56,1805
3,486.23,1693
2,365.32,1545
2,415.40999999999997,1820
2,345.81,1564
2,304.33,1669
2,88.18,1728
2,213.07,1765
2,314.39,1945
2,450.70000000000005,1917
3,373.74,1633
4,320.61,1614
3,371.48,1622
2,220.09,1750
2,226.05,1612
2,295.03000000000003,1856
2,299.47,1642
2,496.76,1609
2,452.86,1671
2,269.12,1624
2,85.09,1836
2,972.97,1838
2,123.47,1766
2,195.73000000000002,1817
2,141.26,1723
2,206.44,1747
2,281.04,1610
2,159.5,1654
2,77.2,1885
2,296.43,1863
2,123.35,1968
2,165.34,1758
2,136.72000000000003,1559
2,1176.6399999999999,1884
4,359.0,1820
2,271.22,1647
2,267.38,1694
3,609.12,1658
2,179.28,2086
2,215.68,1729
2,162.78,1727
2,104.30000000000001,1592
2,371.31,1724
4,857.95,1659
3,704.3299999999999,1712
2,753.74,1627
2,256.13,1658
2,279.8,1794
2,204.54000000000002,1642
2,278.53999999999996,1640
2,132.07,2004
2,1043.06,1811
2,301.02,1758
2,249.5,1574
2,351.07000000000005,1902
2,139.07,1982
2,178.79,1713
2,271.0,1793
2,197.20999999999998,1547
2,249.04000000000002,1907
2,168.06,1740
2,162.64,1790
2,303.0,1555
2,235.45,1560
2,85.99,1583
2,66.55,1606
2,158.95,1764
2,173.04,1766
2,242.5,1785
2,624.95,1806
2,44.72,1626
2,209.18,1843
2,122.57,1783
3,390.47,1679
2,156.76999999999998,1626
2,628.63,1712
2,3064.7200000000003,1886
2,366.99,1720
3,205.96,2107
2,380.76,1965
2,211.63,1604
2,67.44,1632
3,342.48,1808
3,779.34,1817
2,223.81,1817
2,277.84,1961
2,1447.02,1764
2,785.88,1745
2,586.37,1961
2,221.28,1554
2,131.42,1807
2,165.01999999999998,1663
2,425.54,1904
2,124.7,1794
2,493.85,1663
2,157.88,1810
2,113.72,1675
2,134.75,1607
2,120.32,1683
2,263.64,1610
2,119.36,1924
2,937.36,1839
3,127.64999999999999,1629
2,172.23,1627
2,393.61,2013
3,839.62,1870
2,609.6700000000001,1724
2,309.17,2022
2,142.28,1870
2,318.48,1880
2,135.7,1557
2,144.45999999999998,1875
2,353.42,1621
2,344.93,1807
2,1028.2,1682
2,291.1,1776
2,549.29,1686
2,152.64,1743
2,57.48,1551
2,39.18,1610
2,281.58,1562
2,175.81,1653
2,309.24,1696
2,273.39,1643
2,118.25,1987
2,981.98,1539
2,250.03,1735
2,403.53999999999996,1730
3,273.1,1785
3,347.53,1718
2,229.83,2018
2,166.78,1744
2,95.56,1637
3,245.2,1990
2,528.29,1799
2,40.47,2083
2,118.09,1838
2,307.77,1778
2,130.46,1574
2,596.39,1925
2,168.94,1600
2,336.33000000000004,1634
2,180.06,1773
2,157.18,1625
2,82.0,1575
2,125.0,1565
3,283.89,1512
2,147.23000000000002,1692
2,170.47,1993
2,174.44,1735
2,110.25,1980
4,320.26,1555
2,146.19,1598
2,105.09,1559
2,380.44,1794
2,253.08,1689
2,151.41,1741
3,185.09,1912
2,214.69,1768
2,242.41000000000003,1617
2,142.28,1873
2,470.25,1689
2,101.72,2091
3,602.73,1647
2,228.38,1585
2,591.56,1769
2,266.88,1823
2,80.26,2083
2,238.55,1582
2,216.69,1806
2,358.49,1601
2,301.65,1602
2,114.8,1918
2,176.62,1654
2,477.68,1962
2,182.03,1836
2,143.47,1850
2,313.12,1551
2,770.62,1778
2,131.28,1761
2,332.76,1701
2,248.13,1716
2,321.52,2014
2,105.22,1767
2,264.95000000000005,1604
2,143.36,1554
2,296.76,1848
2,214.26,1531
2,174.48,1921
2,175.28,1879
2,78.84,2036
3,358.89,1988
2,162.28,1554
2,373.09000000000003,1897
2,175.26999999999998,1856
2,604.79,1899
2,56.46,1591
3,157.76999999999998,1685
2,140.23000000000002,1981
2,157.95,2092
2,89.75999999999999,1709
2,417.02,1810
2,339.22,1709
2,413.12,1647
2,141.63,2077
2,207.99,1805
2,195.09,1645
2,231.19,2115
2,40.18,1724
2,168.47,1687
2,517.51,1706
2,608.88,1620
2,154.49,1870
2,100.78,1569
2,331.46,1736
2,488.46,1546
2,147.5,1730
2,266.76,1656
2,208.85999999999999,1812
2,117.85999999999999,1707
4,426.12,1607
2,258.4,1588
2,110.44,1639
